rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr3-cubic,120,1,0.1,180,FIFO,1,1,0.7412818897163458,0.6825005743297791,94.56402298764183,74.73216
100,10,bbr3-cubic,120,1,0.1,180,FIFO,1,2,0.7114165101187778,0.6885985784909657,94.20582909444836,75.87352
100,10,bbr3-cubic,120,1,0.1,180,FIFO,1,3,0.7016242345336118,0.7070997694595892,94.25826860463862,77.22344
100,10,bbr3-cubic,120,1,0.1,180,FIFO,2,1,0.7009282566596403,0.6393357644070189,94.4417680997436,81.0456
100,10,bbr3-cubic,120,1,0.1,180,FIFO,2,2,0.7161204413211429,0.6869630129395483,94.45923401659212,80.0032
100,10,bbr3-cubic,120,1,0.1,180,FIFO,2,3,0.7003327134242288,0.6380407826690108,94.4767194157098,80.3632
100,10,bbr3-cubic,120,1,0.1,180,FIFO,3,1,0.6912721215430955,0.5849459846550596,94.57283484495066,79.17866666666667
100,10,bbr3-cubic,120,1,0.1,180,FIFO,3,2,0.7037397996587947,0.6499804424709181,94.6951569281316,79.4672
100,10,bbr3-cubic,120,1,0.1,180,FIFO,3,3,0.6656405176591672,0.6674223557166796,94.67767967128763,78.7488
100,10,bbr3-cubic,120,1,0.1,180,FIFO,4,1,0.7181729671736503,0.5340715866369055,94.93109401168904,79.1978
100,10,bbr3-cubic,120,1,0.1,180,FIFO,4,2,0.6930485357018744,0.5881796759655763,94.83496672752185,79.687
100,10,bbr3-cubic,120,1,0.1,180,FIFO,5,1,0.7775707751759952,0.3401844531424222,95.27184355609332,80.31728
100,10,bbr3-cubic,120,1,0.1,180,FIFO,5,2,0.7588246441092084,0.3544017043727805,95.3155686984739,78.30304
100,10,bbr3-cubic,120,1,0.1,180,FIFO,5,3,0.7371750634956401,0.3527237901717564,95.20197087825704,77.79504
100,10,bbr3-cubic,120,1,0.1,180,FIFO,6,1,0.8366289536087015,0.2377870563211134,95.67383671749502,81.2376
100,10,bbr3-cubic,120,1,0.1,180,FIFO,6,2,0.7486681791409899,0.2211882546595882,95.66511581985004,81.1656
100,10,bbr3-cubic,120,1,0.1,180,FIFO,6,3,0.9041951277762816,0.1815643896381613,95.77869335862847,80.82013333333333
100,10,bbr3-cubic,120,1,0.1,180,FIFO,7,1,0.7958823330805609,0.1907174232382262,95.58644244699556,81.09074285714286
100,10,bbr3-cubic,120,1,0.1,180,FIFO,7,2,0.8846504158044073,0.1681695538590962,95.79617493365085,79.37702857142857
100,10,bbr3-cubic,120,1,0.1,180,FIFO,7,3,0.801994837981969,0.2090987916167753,95.83986519026948,80.55234285714286
100,10,bbr3-cubic,120,1,0.1,180,FIFO,8,1,0.8077538523270823,0.1788357925438026,99.86815136922608,79.2986
100,10,bbr3-cubic,120,1,0.1,180,FIFO,8,2,0.8103898982815964,0.1854724796526565,95.64761323740628,82.8278
100,10,bbr3-cubic,120,1,0.1,180,FIFO,8,3,0.8553819713442148,0.2023108956616765,95.743731135432,80.5107
100,10,bbr3-cubic,120,1,0.1,180,FIFO,16,1,0.9083918503113716,0.1931725854172655,95.71751581654496,81.853
100,10,bbr3-cubic,120,1,0.1,180,FIFO,16,2,0.8890896036666116,0.1995004707940259,95.63887204907464,81.0625
100,10,bbr3-cubic,120,1,0.1,180,FIFO,16,3,0.8963841856294931,0.2176348910531318,95.84860175249835,79.5555
