exp_name,value
bbr_1_cubic_1_10_40,8.152325
cubic_1_cubic_1_10_40,1.2672750000000002
bbr_1_cubic_2_10_40,9.0721
cubic_1_cubic_2_10_40,0.3384500000000001
bbr_1_cubic_4_10_40,9.178225
cubic_1_cubic_4_10_40,0.2831
bbr_1_cubic_8_10_40,9.27845
cubic_1_cubic_8_10_40,0.27355
bbr_1_cubic_16_10_40,9.3883
cubic_1_cubic_16_10_40,0.175425
bbr_1_cubic_32_10_40,9.40645
cubic_1_cubic_32_10_40,0.157875
bbr_2_cubic_1_10_40,5.66165
cubic_2_cubic_1_10_40,3.87855
bbr_2_cubic_2_10_40,7.915974999999999
cubic_2_cubic_2_10_40,1.5747749999999998
bbr_2_cubic_4_10_40,9.185275
cubic_2_cubic_4_10_40,0.2837
bbr_2_cubic_8_10_40,9.307775
cubic_2_cubic_8_10_40,0.24745
bbr_2_cubic_16_10_40,9.401675
cubic_2_cubic_16_10_40,0.16385
bbr_2_cubic_32_10_40,9.4257
cubic_2_cubic_32_10_40,0.139875
bbr_4_cubic_1_10_40,4.7852
cubic_4_cubic_1_10_40,4.782375
bbr_4_cubic_2_10_40,5.628050000000001
cubic_4_cubic_2_10_40,3.92605
bbr_4_cubic_4_10_40,7.291225
cubic_4_cubic_4_10_40,2.2435
bbr_4_cubic_8_10_40,8.798974999999999
cubic_4_cubic_8_10_40,0.765925
bbr_4_cubic_16_10_40,9.40515
cubic_4_cubic_16_10_40,0.157225
bbr_4_cubic_32_10_40,9.441425
cubic_4_cubic_32_10_40,0.1216
bbr_8_cubic_1_10_40,4.4615
cubic_8_cubic_1_10_40,5.09995
bbr_8_cubic_2_10_40,5.101999999999999
cubic_8_cubic_2_10_40,4.45885
bbr_8_cubic_4_10_40,6.0505
cubic_8_cubic_4_10_40,3.516525
bbr_8_cubic_8_10_40,7.106599999999999
cubic_8_cubic_8_10_40,2.461275
bbr_8_cubic_16_10_40,8.4481
cubic_8_cubic_16_10_40,1.124975
bbr_8_cubic_32_10_40,9.4596
cubic_8_cubic_32_10_40,0.105125
bbr_16_cubic_1_10_40,3.854325
cubic_16_cubic_1_10_40,5.70875
bbr_16_cubic_2_10_40,4.7337
cubic_16_cubic_2_10_40,4.831075
bbr_16_cubic_4_10_40,5.16845
cubic_16_cubic_4_10_40,4.392175
bbr_16_cubic_8_10_40,5.975925
cubic_16_cubic_8_10_40,3.587625
bbr_16_cubic_16_10_40,6.90855
cubic_16_cubic_16_10_40,2.6658000000000004
bbr_16_cubic_32_10_40,8.35465
cubic_16_cubic_32_10_40,1.240725
bbr_32_cubic_1_10_40,3.193375
cubic_32_cubic_1_10_40,6.37015
bbr_32_cubic_2_10_40,3.725925
cubic_32_cubic_2_10_40,5.818524999999999
bbr_32_cubic_4_10_40,4.1926
cubic_32_cubic_4_10_40,5.3701
bbr_32_cubic_8_10_40,4.640725000000001
cubic_32_cubic_8_10_40,4.923825
bbr_32_cubic_16_10_40,5.3201
cubic_32_cubic_16_10_40,4.261775
bbr_32_cubic_32_10_40,6.1735500000000005
cubic_32_cubic_32_10_40,3.3861250000000003
bbr_64_cubic_1_10_40,1.911625
cubic_64_cubic_1_10_40,7.653275000000001
bbr_64_cubic_2_10_40,2.50855
cubic_64_cubic_2_10_40,7.0679
bbr_64_cubic_4_10_40,2.87865
cubic_64_cubic_4_10_40,6.667725000000001
bbr_64_cubic_8_10_40,3.0160750000000003
cubic_64_cubic_8_10_40,6.503325
bbr_64_cubic_16_10_40,3.2758000000000003
cubic_64_cubic_16_10_40,6.284974999999999
bbr_64_cubic_32_10_40,3.8084
cubic_64_cubic_32_10_40,5.710675
