exp_name,value
bbr2_1_reno_1_10_40,1.0335
reno_1_reno_1_10_40,8.525150000000002
bbr2_1_reno_2_10_40,1.9013
reno_1_reno_2_10_40,7.649999999999999
bbr2_1_reno_4_10_40,4.1413
reno_1_reno_4_10_40,5.4244
bbr2_1_reno_8_10_40,7.02125
reno_1_reno_8_10_40,2.54115
bbr2_1_reno_16_10_40,9.15185
reno_1_reno_16_10_40,0.4145999999999999
bbr2_1_reno_32_10_40,9.3667
reno_1_reno_32_10_40,0.199
bbr2_2_reno_1_10_40,1.1004
reno_2_reno_1_10_40,8.46495
bbr2_2_reno_2_10_40,1.3852000000000002
reno_2_reno_2_10_40,8.178199999999999
bbr2_2_reno_4_10_40,4.5773
reno_2_reno_4_10_40,5.031549999999999
bbr2_2_reno_8_10_40,5.7118
reno_2_reno_8_10_40,3.83845
bbr2_2_reno_16_10_40,8.3133
reno_2_reno_16_10_40,1.2461999999999998
bbr2_2_reno_32_10_40,9.3457
reno_2_reno_32_10_40,0.2202
bbr2_4_reno_1_10_40,2.9265
reno_4_reno_1_10_40,6.641700000000001
bbr2_4_reno_2_10_40,3.2114
reno_4_reno_2_10_40,6.360899999999999
bbr2_4_reno_4_10_40,5.265699999999999
reno_4_reno_4_10_40,4.312799999999999
bbr2_4_reno_8_10_40,5.87785
reno_4_reno_8_10_40,3.6954
bbr2_4_reno_16_10_40,7.1051
reno_4_reno_16_10_40,2.4495
bbr2_4_reno_32_10_40,9.0671
reno_4_reno_32_10_40,0.49475
bbr2_8_reno_1_10_40,3.775900000000001
reno_8_reno_1_10_40,5.7873
bbr2_8_reno_2_10_40,2.89175
reno_8_reno_2_10_40,6.67925
bbr2_8_reno_4_10_40,3.9737
reno_8_reno_4_10_40,5.54765
bbr2_8_reno_8_10_40,4.78795
reno_8_reno_8_10_40,4.7458
bbr2_8_reno_16_10_40,6.3736
reno_8_reno_16_10_40,3.17555
bbr2_8_reno_32_10_40,7.73375
reno_8_reno_32_10_40,1.8302
bbr2_16_reno_1_10_40,5.0029
reno_16_reno_1_10_40,4.5499
bbr2_16_reno_2_10_40,5.040850000000001
reno_16_reno_2_10_40,4.512650000000001
bbr2_16_reno_4_10_40,4.701999999999999
reno_16_reno_4_10_40,4.859
bbr2_16_reno_8_10_40,4.90315
reno_16_reno_8_10_40,4.6917
bbr2_16_reno_16_10_40,5.30985
reno_16_reno_16_10_40,4.25875
bbr2_16_reno_32_10_40,6.511699999999999
reno_16_reno_32_10_40,3.1423
bbr2_32_reno_1_10_40,3.08995
reno_32_reno_1_10_40,6.47415
bbr2_32_reno_2_10_40,5.3988
reno_32_reno_2_10_40,4.146100000000001
bbr2_32_reno_4_10_40,3.73015
reno_32_reno_4_10_40,5.8178
bbr2_32_reno_8_10_40,5.122000000000001
reno_32_reno_8_10_40,4.44315
bbr2_32_reno_16_10_40,5.54635
reno_32_reno_16_10_40,4.00075
bbr2_32_reno_32_10_40,5.633100000000001
reno_32_reno_32_10_40,4.1699
bbr2_64_reno_1_10_40,3.82555
reno_64_reno_1_10_40,5.73095
bbr2_64_reno_2_10_40,4.3328
reno_64_reno_2_10_40,5.2202
bbr2_64_reno_4_10_40,5.29375
reno_64_reno_4_10_40,4.2673000000000005
bbr2_64_reno_8_10_40,5.0025
reno_64_reno_8_10_40,4.5468
bbr2_64_reno_16_10_40,5.4899
reno_64_reno_16_10_40,4.21715
bbr2_64_reno_32_10_40,7.684649999999999
reno_64_reno_32_10_40,2.4555
