exp_name,value
bbr3_1_reno_1_10_40,5.3521
reno_1_reno_1_10_40,4.1784
bbr3_1_reno_2_10_40,7.621099999999999
reno_1_reno_2_10_40,1.8664
bbr3_1_reno_4_10_40,8.3051
reno_1_reno_4_10_40,1.17745
bbr3_1_reno_8_10_40,8.7575
reno_1_reno_8_10_40,0.7809
bbr3_1_reno_16_10_40,9.0512
reno_1_reno_16_10_40,0.5091499999999999
bbr3_1_reno_32_10_40,9.30725
reno_1_reno_32_10_40,0.2584999999999999
bbr3_2_reno_1_10_40,4.8992
reno_2_reno_1_10_40,4.659299999999999
bbr3_2_reno_2_10_40,6.6036
reno_2_reno_2_10_40,2.8986
bbr3_2_reno_4_10_40,8.07155
reno_2_reno_4_10_40,1.44875
bbr3_2_reno_8_10_40,8.728599999999998
reno_2_reno_8_10_40,0.8237000000000001
bbr3_2_reno_16_10_40,9.07295
reno_2_reno_16_10_40,0.4931999999999999
bbr3_2_reno_32_10_40,9.29575
reno_2_reno_32_10_40,0.2610499999999999
bbr3_4_reno_1_10_40,5.66635
reno_4_reno_1_10_40,3.9002
bbr3_4_reno_2_10_40,5.82035
reno_4_reno_2_10_40,3.7012
bbr3_4_reno_4_10_40,6.4643500000000005
reno_4_reno_4_10_40,3.17765
bbr3_4_reno_8_10_40,7.818300000000001
reno_4_reno_8_10_40,1.7513999999999998
bbr3_4_reno_16_10_40,9.1023
reno_4_reno_16_10_40,0.4622
bbr3_4_reno_32_10_40,9.25465
reno_4_reno_32_10_40,0.31535
bbr3_8_reno_1_10_40,5.71645
reno_8_reno_1_10_40,3.84685
bbr3_8_reno_2_10_40,6.01225
reno_8_reno_2_10_40,3.57945
bbr3_8_reno_4_10_40,6.244000000000001
reno_8_reno_4_10_40,3.34245
bbr3_8_reno_8_10_40,7.017
reno_8_reno_8_10_40,2.59165
bbr3_8_reno_16_10_40,8.324100000000001
reno_8_reno_16_10_40,1.22475
bbr3_8_reno_32_10_40,9.26145
reno_8_reno_32_10_40,0.29995
bbr3_16_reno_1_10_40,5.94945
reno_16_reno_1_10_40,3.6139
bbr3_16_reno_2_10_40,6.285900000000001
reno_16_reno_2_10_40,3.2726
bbr3_16_reno_4_10_40,6.55335
reno_16_reno_4_10_40,3.01005
bbr3_16_reno_8_10_40,6.8162
reno_16_reno_8_10_40,2.75875
bbr3_16_reno_16_10_40,7.32005
reno_16_reno_16_10_40,2.24515
bbr3_16_reno_32_10_40,8.33475
reno_16_reno_32_10_40,1.23095
bbr3_32_reno_1_10_40,3.3218
reno_32_reno_1_10_40,6.240799999999999
bbr3_32_reno_2_10_40,6.580300000000001
reno_32_reno_2_10_40,2.9753
bbr3_32_reno_4_10_40,6.665300000000001
reno_32_reno_4_10_40,2.9009000000000005
bbr3_32_reno_8_10_40,6.95295
reno_32_reno_8_10_40,2.6084
bbr3_32_reno_16_10_40,7.166200000000001
reno_32_reno_16_10_40,2.42785
bbr3_32_reno_32_10_40,7.5865
reno_32_reno_32_10_40,2.119
bbr3_64_reno_1_10_40,0.9048
reno_64_reno_1_10_40,8.6563
bbr3_64_reno_2_10_40,0.55425
reno_64_reno_2_10_40,9.007549999999998
bbr3_64_reno_4_10_40,6.351700000000001
reno_64_reno_4_10_40,3.1613
bbr3_64_reno_8_10_40,1.5202
reno_64_reno_8_10_40,8.05325
bbr3_64_reno_16_10_40,7.02995
reno_64_reno_16_10_40,2.58275
bbr3_64_reno_32_10_40,7.780699999999999
reno_64_reno_32_10_40,2.26185
