exp_name,value
bbr2_1_reno_1_10_40,1.1996
reno_1_reno_1_10_40,8.36135
bbr2_1_reno_2_10_40,2.56775
reno_1_reno_2_10_40,6.99995
bbr2_1_reno_4_10_40,4.155349999999999
reno_1_reno_4_10_40,5.395600000000001
bbr2_1_reno_8_10_40,7.0221
reno_1_reno_8_10_40,2.53395
bbr2_1_reno_16_10_40,9.1188
reno_1_reno_16_10_40,0.44205
bbr2_1_reno_32_10_40,9.3601
reno_1_reno_32_10_40,0.20555
bbr2_2_reno_1_10_40,0.71345
reno_2_reno_1_10_40,8.8497
bbr2_2_reno_2_10_40,1.982
reno_2_reno_2_10_40,7.59195
bbr2_2_reno_4_10_40,5.19305
reno_2_reno_4_10_40,4.3906
bbr2_2_reno_8_10_40,5.47135
reno_2_reno_8_10_40,4.1057
bbr2_2_reno_16_10_40,8.340399999999999
reno_2_reno_16_10_40,1.22585
bbr2_2_reno_32_10_40,9.3506
reno_2_reno_32_10_40,0.2128999999999999
bbr2_4_reno_1_10_40,2.45685
reno_4_reno_1_10_40,7.10615
bbr2_4_reno_2_10_40,3.30385
reno_4_reno_2_10_40,6.24635
bbr2_4_reno_4_10_40,5.203199999999999
reno_4_reno_4_10_40,4.3463
bbr2_4_reno_8_10_40,5.88285
reno_4_reno_8_10_40,3.6838
bbr2_4_reno_16_10_40,7.150399999999999
reno_4_reno_16_10_40,2.41965
bbr2_4_reno_32_10_40,9.07995
reno_4_reno_32_10_40,0.48255
bbr2_8_reno_1_10_40,2.76495
reno_8_reno_1_10_40,6.797500000000001
bbr2_8_reno_2_10_40,3.0003
reno_8_reno_2_10_40,6.55625
bbr2_8_reno_4_10_40,3.3222
reno_8_reno_4_10_40,6.2341
bbr2_8_reno_8_10_40,4.51495
reno_8_reno_8_10_40,5.05085
bbr2_8_reno_16_10_40,6.146599999999999
reno_8_reno_16_10_40,3.41995
bbr2_8_reno_32_10_40,7.97645
reno_8_reno_32_10_40,1.5891
bbr2_16_reno_1_10_40,3.10575
reno_16_reno_1_10_40,6.4574
bbr2_16_reno_2_10_40,3.3327
reno_16_reno_2_10_40,6.22405
bbr2_16_reno_4_10_40,5.060650000000001
reno_16_reno_4_10_40,4.51765
bbr2_16_reno_8_10_40,5.1901
reno_16_reno_8_10_40,4.38425
bbr2_16_reno_16_10_40,5.428399999999999
reno_16_reno_16_10_40,4.1679
bbr2_16_reno_32_10_40,6.50695
reno_16_reno_32_10_40,3.09285
bbr2_32_reno_1_10_40,4.78805
reno_32_reno_1_10_40,4.76795
bbr2_32_reno_2_10_40,5.5189
reno_32_reno_2_10_40,4.03525
bbr2_32_reno_4_10_40,4.5794500000000005
reno_32_reno_4_10_40,4.94725
bbr2_32_reno_8_10_40,3.9752
reno_32_reno_8_10_40,5.6148
bbr2_32_reno_16_10_40,5.78525
reno_32_reno_16_10_40,3.7643
bbr2_32_reno_32_10_40,6.223599999999999
reno_32_reno_32_10_40,3.4787
bbr2_64_reno_1_10_40,5.01135
reno_64_reno_1_10_40,4.5516
bbr2_64_reno_2_10_40,4.8772
reno_64_reno_2_10_40,4.64225
bbr2_64_reno_4_10_40,5.532449999999999
reno_64_reno_4_10_40,4.02635
bbr2_64_reno_8_10_40,5.7878
reno_64_reno_8_10_40,3.7632
bbr2_64_reno_16_10_40,7.6464
reno_64_reno_16_10_40,1.8881
bbr2_64_reno_32_10_40,8.46495
reno_64_reno_32_10_40,1.31495
