exp_name,value
bbr_1_cubic_1_10_40,8.157024999999999
cubic_1_cubic_1_10_40,1.25295
bbr_1_cubic_2_10_40,9.0849
cubic_1_cubic_2_10_40,0.3242749999999999
bbr_1_cubic_4_10_40,9.164325
cubic_1_cubic_4_10_40,0.294275
bbr_1_cubic_8_10_40,9.283525
cubic_1_cubic_8_10_40,0.268275
bbr_1_cubic_16_10_40,9.374325
cubic_1_cubic_16_10_40,0.190225
bbr_1_cubic_32_10_40,9.39495
cubic_1_cubic_32_10_40,0.1682249999999999
bbr_2_cubic_1_10_40,5.785025000000001
cubic_2_cubic_1_10_40,3.74925
bbr_2_cubic_2_10_40,8.005825
cubic_2_cubic_2_10_40,1.4849
bbr_2_cubic_4_10_40,9.1797
cubic_2_cubic_4_10_40,0.28975
bbr_2_cubic_8_10_40,9.317225
cubic_2_cubic_8_10_40,0.237125
bbr_2_cubic_16_10_40,9.40895
cubic_2_cubic_16_10_40,0.1556
bbr_2_cubic_32_10_40,9.430725
cubic_2_cubic_32_10_40,0.1332
bbr_4_cubic_1_10_40,4.89735
cubic_4_cubic_1_10_40,4.667075
bbr_4_cubic_2_10_40,5.525375
cubic_4_cubic_2_10_40,4.03185
bbr_4_cubic_4_10_40,7.324175
cubic_4_cubic_4_10_40,2.2006
bbr_4_cubic_8_10_40,8.805275000000002
cubic_4_cubic_8_10_40,0.7566999999999999
bbr_4_cubic_16_10_40,9.4111
cubic_4_cubic_16_10_40,0.154325
bbr_4_cubic_32_10_40,9.451775
cubic_4_cubic_32_10_40,0.1125
bbr_8_cubic_1_10_40,4.63175
cubic_8_cubic_1_10_40,4.931675
bbr_8_cubic_2_10_40,5.116925
cubic_8_cubic_2_10_40,4.4460500000000005
bbr_8_cubic_4_10_40,6.034475
cubic_8_cubic_4_10_40,3.5333500000000004
bbr_8_cubic_8_10_40,7.118475
cubic_8_cubic_8_10_40,2.445075
bbr_8_cubic_16_10_40,8.43595
cubic_8_cubic_16_10_40,1.144675
bbr_8_cubic_32_10_40,9.459825
cubic_8_cubic_32_10_40,0.098125
bbr_16_cubic_1_10_40,3.97795
cubic_16_cubic_1_10_40,5.58385
bbr_16_cubic_2_10_40,4.777424999999999
cubic_16_cubic_2_10_40,4.78585
bbr_16_cubic_4_10_40,5.356275
cubic_16_cubic_4_10_40,4.209149999999999
bbr_16_cubic_8_10_40,5.94495
cubic_16_cubic_8_10_40,3.617825
bbr_16_cubic_16_10_40,6.8874
cubic_16_cubic_16_10_40,2.6825
bbr_16_cubic_32_10_40,8.3684
cubic_16_cubic_32_10_40,1.2093
bbr_32_cubic_1_10_40,3.422575
cubic_32_cubic_1_10_40,6.133774999999999
bbr_32_cubic_2_10_40,3.728450000000001
cubic_32_cubic_2_10_40,5.8167
bbr_32_cubic_4_10_40,4.148625000000001
cubic_32_cubic_4_10_40,5.4006
bbr_32_cubic_8_10_40,4.852524999999999
cubic_32_cubic_8_10_40,4.69305
bbr_32_cubic_16_10_40,5.240999999999999
cubic_32_cubic_16_10_40,4.31565
bbr_32_cubic_32_10_40,6.188325
cubic_32_cubic_32_10_40,3.3963
bbr_64_cubic_1_10_40,2.0598
cubic_64_cubic_1_10_40,7.496775
bbr_64_cubic_2_10_40,2.234725
cubic_64_cubic_2_10_40,7.312675
bbr_64_cubic_4_10_40,2.6533
cubic_64_cubic_4_10_40,6.88765
bbr_64_cubic_8_10_40,2.885
cubic_64_cubic_8_10_40,6.645374999999999
bbr_64_cubic_16_10_40,3.3773
cubic_64_cubic_16_10_40,6.19375
bbr_64_cubic_32_10_40,3.825275
cubic_64_cubic_32_10_40,5.7604
