exp_name,value
bbr2_1_reno_1_10_40,1.9602
reno_1_reno_1_10_40,7.5977
bbr2_1_reno_2_10_40,2.2069500000000004
reno_1_reno_2_10_40,7.350049999999999
bbr2_1_reno_4_10_40,3.5745
reno_1_reno_4_10_40,5.97625
bbr2_1_reno_8_10_40,6.65665
reno_1_reno_8_10_40,2.91255
bbr2_1_reno_16_10_40,9.160149999999998
reno_1_reno_16_10_40,0.40365
bbr2_1_reno_32_10_40,9.36085
reno_1_reno_32_10_40,0.20295
bbr2_2_reno_1_10_40,0.59765
reno_2_reno_1_10_40,8.9669
bbr2_2_reno_2_10_40,4.54005
reno_2_reno_2_10_40,5.0192000000000005
bbr2_2_reno_4_10_40,2.7862
reno_2_reno_4_10_40,6.79115
bbr2_2_reno_8_10_40,6.30605
reno_2_reno_8_10_40,3.2608
bbr2_2_reno_16_10_40,8.33725
reno_2_reno_16_10_40,1.2308
bbr2_2_reno_32_10_40,9.33985
reno_2_reno_32_10_40,0.22465
bbr2_4_reno_1_10_40,2.8544
reno_4_reno_1_10_40,6.70925
bbr2_4_reno_2_10_40,3.26045
reno_4_reno_2_10_40,6.2937
bbr2_4_reno_4_10_40,4.778300000000001
reno_4_reno_4_10_40,4.782
bbr2_4_reno_8_10_40,6.062250000000001
reno_4_reno_8_10_40,3.4954
bbr2_4_reno_16_10_40,7.17425
reno_4_reno_16_10_40,2.38945
bbr2_4_reno_32_10_40,9.09585
reno_4_reno_32_10_40,0.46775
bbr2_8_reno_1_10_40,3.5546500000000005
reno_8_reno_1_10_40,6.008599999999999
bbr2_8_reno_2_10_40,3.83885
reno_8_reno_2_10_40,5.730650000000001
bbr2_8_reno_4_10_40,3.6917
reno_8_reno_4_10_40,5.8655
bbr2_8_reno_8_10_40,4.995950000000001
reno_8_reno_8_10_40,4.56355
bbr2_8_reno_16_10_40,5.8508
reno_8_reno_16_10_40,3.71455
bbr2_8_reno_32_10_40,7.7538
reno_8_reno_32_10_40,1.8238
bbr2_16_reno_1_10_40,3.074
reno_16_reno_1_10_40,6.4902
bbr2_16_reno_2_10_40,4.7761000000000005
reno_16_reno_2_10_40,4.7965
bbr2_16_reno_4_10_40,5.39495
reno_16_reno_4_10_40,4.1862
bbr2_16_reno_8_10_40,5.5176
reno_16_reno_8_10_40,4.06785
bbr2_16_reno_16_10_40,5.59595
reno_16_reno_16_10_40,3.9686
bbr2_16_reno_32_10_40,6.6579
reno_16_reno_32_10_40,2.99325
bbr2_32_reno_1_10_40,4.7053
reno_32_reno_1_10_40,4.8488
bbr2_32_reno_2_10_40,3.92675
reno_32_reno_2_10_40,5.63145
bbr2_32_reno_4_10_40,5.38245
reno_32_reno_4_10_40,4.1649
bbr2_32_reno_8_10_40,5.651800000000001
reno_32_reno_8_10_40,3.963400000000001
bbr2_32_reno_16_10_40,5.25105
reno_32_reno_16_10_40,4.40125
bbr2_32_reno_32_10_40,6.209549999999999
reno_32_reno_32_10_40,3.6742
bbr2_64_reno_1_10_40,0.8870500000000001
reno_64_reno_1_10_40,8.671100000000001
bbr2_64_reno_2_10_40,1.57075
reno_64_reno_2_10_40,7.9896
bbr2_64_reno_4_10_40,6.7017
reno_64_reno_4_10_40,2.8334
bbr2_64_reno_8_10_40,5.44775
reno_64_reno_8_10_40,4.1146
bbr2_64_reno_16_10_40,7.25655
reno_64_reno_16_10_40,2.3680000000000003
bbr2_64_reno_32_10_40,8.5354
reno_64_reno_32_10_40,1.25985
