exp_name,value
bbr3_1_cubic_1_10_40,4.6646
cubic_1_cubic_1_10_40,4.897175
bbr3_1_cubic_2_10_40,6.81865
cubic_1_cubic_2_10_40,2.696025
bbr3_1_cubic_4_10_40,8.229275
cubic_1_cubic_4_10_40,1.2328
bbr3_1_cubic_8_10_40,8.76805
cubic_1_cubic_8_10_40,0.78595
bbr3_1_cubic_16_10_40,9.095025
cubic_1_cubic_16_10_40,0.471325
bbr3_1_cubic_32_10_40,9.329125
cubic_1_cubic_32_10_40,0.2353249999999999
bbr3_2_cubic_1_10_40,4.67385
cubic_2_cubic_1_10_40,4.8926
bbr3_2_cubic_2_10_40,6.099825000000001
cubic_2_cubic_2_10_40,3.464375
bbr3_2_cubic_4_10_40,7.64405
cubic_2_cubic_4_10_40,1.89105
bbr3_2_cubic_8_10_40,8.6842
cubic_2_cubic_8_10_40,0.8789000000000001
bbr3_2_cubic_16_10_40,9.0763
cubic_2_cubic_16_10_40,0.4887749999999999
bbr3_2_cubic_32_10_40,9.2889
cubic_2_cubic_32_10_40,0.2766249999999999
bbr3_4_cubic_1_10_40,5.150725
cubic_4_cubic_1_10_40,4.413125
bbr3_4_cubic_2_10_40,5.725925
cubic_4_cubic_2_10_40,3.832125
bbr3_4_cubic_4_10_40,6.495699999999999
cubic_4_cubic_4_10_40,3.06815
bbr3_4_cubic_8_10_40,7.83165
cubic_4_cubic_8_10_40,1.7341
bbr3_4_cubic_16_10_40,9.015425
cubic_4_cubic_16_10_40,0.54965
bbr3_4_cubic_32_10_40,9.239775
cubic_4_cubic_32_10_40,0.3255
bbr3_8_cubic_1_10_40,5.04345
cubic_8_cubic_1_10_40,4.5208
bbr3_8_cubic_2_10_40,5.39085
cubic_8_cubic_2_10_40,4.17
bbr3_8_cubic_4_10_40,6.161500000000001
cubic_8_cubic_4_10_40,3.40805
bbr3_8_cubic_8_10_40,6.846275
cubic_8_cubic_8_10_40,2.7170500000000004
bbr3_8_cubic_16_10_40,8.220875000000001
cubic_8_cubic_16_10_40,1.34305
bbr3_8_cubic_32_10_40,9.1768
cubic_8_cubic_32_10_40,0.391725
bbr3_16_cubic_1_10_40,3.70075
cubic_16_cubic_1_10_40,5.8576
bbr3_16_cubic_2_10_40,3.630525
cubic_16_cubic_2_10_40,5.933925
bbr3_16_cubic_4_10_40,3.800425
cubic_16_cubic_4_10_40,5.7555
bbr3_16_cubic_8_10_40,4.16285
cubic_16_cubic_8_10_40,5.394400000000001
bbr3_16_cubic_16_10_40,6.40895
cubic_16_cubic_16_10_40,3.156425
bbr3_16_cubic_32_10_40,7.685175
cubic_16_cubic_32_10_40,1.888975
bbr3_32_cubic_1_10_40,0.7056
cubic_32_cubic_1_10_40,8.853499999999999
bbr3_32_cubic_2_10_40,1.3037
cubic_32_cubic_2_10_40,8.253924999999999
bbr3_32_cubic_4_10_40,1.753
cubic_32_cubic_4_10_40,7.809449999999999
bbr3_32_cubic_8_10_40,2.28425
cubic_32_cubic_8_10_40,7.264625
bbr3_32_cubic_16_10_40,5.395824999999999
cubic_32_cubic_16_10_40,4.155
bbr3_32_cubic_32_10_40,6.27095
cubic_32_cubic_32_10_40,3.286825
bbr3_64_cubic_1_10_40,0.2755
cubic_64_cubic_1_10_40,9.305825
bbr3_64_cubic_2_10_40,0.9515
cubic_64_cubic_2_10_40,8.619425
bbr3_64_cubic_4_10_40,0.4011
cubic_64_cubic_4_10_40,9.161925000000002
bbr3_64_cubic_8_10_40,1.021325
cubic_64_cubic_8_10_40,8.538875
bbr3_64_cubic_16_10_40,1.320725
cubic_64_cubic_16_10_40,8.242525
bbr3_64_cubic_32_10_40,5.29915
cubic_64_cubic_32_10_40,4.247075
