exp_name,value
bbr3_1_reno_1_10_40,5.647800000000001
reno_1_reno_1_10_40,3.8828
bbr3_1_reno_2_10_40,7.45845
reno_1_reno_2_10_40,2.0025
bbr3_1_reno_4_10_40,8.335650000000001
reno_1_reno_4_10_40,1.121
bbr3_1_reno_8_10_40,8.738150000000001
reno_1_reno_8_10_40,0.8181999999999999
bbr3_1_reno_16_10_40,9.08165
reno_1_reno_16_10_40,0.4805
bbr3_1_reno_32_10_40,9.3143
reno_1_reno_32_10_40,0.2512
bbr3_2_reno_1_10_40,5.3264
reno_2_reno_1_10_40,4.2337
bbr3_2_reno_2_10_40,6.616499999999999
reno_2_reno_2_10_40,2.93265
bbr3_2_reno_4_10_40,8.11325
reno_2_reno_4_10_40,1.3857
bbr3_2_reno_8_10_40,8.745550000000001
reno_2_reno_8_10_40,0.8093
bbr3_2_reno_16_10_40,9.0877
reno_2_reno_16_10_40,0.4819
bbr3_2_reno_32_10_40,9.286700000000002
reno_2_reno_32_10_40,0.2794
bbr3_4_reno_1_10_40,5.354500000000001
reno_4_reno_1_10_40,4.209099999999999
bbr3_4_reno_2_10_40,5.69415
reno_4_reno_2_10_40,3.89715
bbr3_4_reno_4_10_40,6.2511
reno_4_reno_4_10_40,3.30805
bbr3_4_reno_8_10_40,7.804600000000001
reno_4_reno_8_10_40,1.7735
bbr3_4_reno_16_10_40,9.0834
reno_4_reno_16_10_40,0.4952
bbr3_4_reno_32_10_40,9.2474
reno_4_reno_32_10_40,0.32325
bbr3_8_reno_1_10_40,5.5993
reno_8_reno_1_10_40,3.9727
bbr3_8_reno_2_10_40,5.9685500000000005
reno_8_reno_2_10_40,3.59275
bbr3_8_reno_4_10_40,6.444649999999999
reno_8_reno_4_10_40,3.1042
bbr3_8_reno_8_10_40,7.0131
reno_8_reno_8_10_40,2.6089
bbr3_8_reno_16_10_40,8.3724
reno_8_reno_16_10_40,1.19445
bbr3_8_reno_32_10_40,9.25645
reno_8_reno_32_10_40,0.3078
bbr3_16_reno_1_10_40,5.984000000000001
reno_16_reno_1_10_40,3.6014
bbr3_16_reno_2_10_40,6.18825
reno_16_reno_2_10_40,3.3707500000000006
bbr3_16_reno_4_10_40,6.5899
reno_16_reno_4_10_40,3.0016
bbr3_16_reno_8_10_40,6.821099999999999
reno_16_reno_8_10_40,2.7409
bbr3_16_reno_16_10_40,7.30925
reno_16_reno_16_10_40,2.25465
bbr3_16_reno_32_10_40,8.3407
reno_16_reno_32_10_40,1.22945
bbr3_32_reno_1_10_40,4.0829
reno_32_reno_1_10_40,5.46435
bbr3_32_reno_2_10_40,6.37135
reno_32_reno_2_10_40,3.1642
bbr3_32_reno_4_10_40,6.869400000000001
reno_32_reno_4_10_40,2.6895
bbr3_32_reno_8_10_40,6.771700000000001
reno_32_reno_8_10_40,2.7704499999999994
bbr3_32_reno_16_10_40,7.00365
reno_32_reno_16_10_40,2.5540000000000003
bbr3_32_reno_32_10_40,7.675599999999999
reno_32_reno_32_10_40,2.0478
bbr3_64_reno_1_10_40,5.16615
reno_64_reno_1_10_40,4.3835500000000005
bbr3_64_reno_2_10_40,5.4862
reno_64_reno_2_10_40,4.0427
bbr3_64_reno_4_10_40,5.913050000000001
reno_64_reno_4_10_40,3.65085
bbr3_64_reno_8_10_40,6.68355
reno_64_reno_8_10_40,2.88155
bbr3_64_reno_16_10_40,7.343
reno_64_reno_16_10_40,2.4084
bbr3_64_reno_32_10_40,8.6541
reno_64_reno_32_10_40,1.0567
